repo, public_repo_exists, jenkins_job_status
https://github.com/Maescool/Catacomb-Snatch, false, red
https://github.com/ManbangGroup/Phantom, false, red
https://github.com/MangoAutomation/ma-core-public, false, red
https://github.com/Manopraba/Pre_Reg_Common_kernel, false, red
https://github.com/MarcusWolschon/osmeditor4android, true, blue
https://github.com/MasonLiuChn/DecompileApk, false, red
https://github.com/MicheleGuerra/MusicYouLike_Java, false, not found
https://github.com/MikeMano1994/FileManager, false, red
https://github.com/MinecraftForge/ForgeGradle, true, blue
https://github.com/MiracleTanC/Neo4j-KGBuilder, true, red
https://github.com/MissMR/xiling-android, false, red
https://github.com/Moulberry/NotEnoughUpdates, false, red
https://github.com/Multibit-Legacy/multibit-hd, false, red
https://github.com/MyCATApache/Mycat-Server, true, blue
https://github.com/MyCATApache/Mycat2, false, red
https://github.com/MyCoRe-Org/mir, false, red
https://github.com/MysteryZ/mcms, false, not found
https://github.com/NativeScript/functional-tests-core, false, red
https://github.com/NeoTerrm/NeoTerm, true, blue
https://github.com/Netflix/Nicobar, true, blue
https://github.com/Nexmo/pricing-tool, false, not found
https://github.com/Nifiro/comicbooks, true, blue
https://github.com/NixLabAdmin/Opencell, false, red
https://github.com/OctopusDeploy/Octopus-TeamCity, false, red
https://github.com/OneBusAway/onebusaway-application-modules, false, red
https://github.com/Open-RIO/ToastAPI, false, red
https://github.com/OpenBD/openbd-core, false, not found
https://github.com/OpenClinica/OpenClinica, false, red
https://github.com/OpenMap-java/openmap, false, not found
https://github.com/OpenOLAT/OpenOLAT, false, red
https://github.com/OpenRefine/OpenRefine, false, red
https://github.com/OpenRock/OpenDJ, false, red
https://github.com/OpenVidu/openvidu, false, red
https://github.com/Optimusprimeums/Appbundler-UMS, false, not found
https://github.com/OwnYourData/oyd-pia, true, blue
https://github.com/PC-Logix/LanteaBot, false, red
https://github.com/PhoenicisOrg/phoenicis, false, red
https://github.com/Praqma/pretested-integration-plugin, true, blue
https://github.com/PrisonTeam/Prison, true, red
https://github.com/PseudoResonance/ResonantBot, false, red
https://github.com/RBMHTechnology/vind, false, red
https://github.com/RPTools/maptool, false, red
https://github.com/RWS/Testy, false, red
https://github.com/RaiMan/SikuliNG, false, not found
https://github.com/RaiMan/SikuliX-2014, false, red
https://github.com/Re-Volt/RVGL-Assistant_Android, false, red
https://github.com/Red5/red5-server, false, red
https://github.com/Red5/red5-server-common, false, red
https://github.com/RestComm/sip-servlets, false, red
https://github.com/ReverseEngineeringCUILahore/ofbiz-framework_without_git, false, not found
https://github.com/Rubante/ruban, false, not found
https://github.com/RustDT/RustDT, true, red
https://github.com/SAP/cloud-language-servers-container, true, blue
https://github.com/SCI2SUGR/KEEL, false, not found
https://github.com/STAMP-project/EvoCrash, false, red
https://github.com/Samourai-Wallet/sentinel-android, false, red
https://github.com/Samsung/microbit, false, red
https://github.com/SeanDragon/protools, true, red
https://github.com/SeanLie/leleooche, false, red
https://github.com/SeaseLtd/rated-ranking-evaluator, false, red
https://github.com/SenhLinsh/Utils-Everywhere, true, blue
https://github.com/Shayenen/agile-bpm, false, red
https://github.com/SignalK/artemis-server, false, red
https://github.com/Silverpeas/Silverpeas-Core, false, red
https://github.com/SimpleServer/SimpleServer, false, not found
https://github.com/SkriptLang/Skript, false, red
https://github.com/SkyTubeTeam/SkyTube, false, red
https://github.com/SleepyTrousers/EnderCore, false, red
https://github.com/Slowpoke101/FTBLaunch, false, red
https://github.com/SmartBear/soapui, false, red
https://github.com/SmartReceipts/SmartReceiptsLibrary, true, blue
https://github.com/SonarSource/SonarJS, false, red
https://github.com/SonarSource/sonarqube, true, red
https://github.com/Spoutcraft/LegacyLauncher, true, blue
https://github.com/StuPro-TOSCAna/TOSCAna, true, red
