repo, public_repo_exists, jenkins_job_status
https://github.com/DanySK/Protelis, false, not found
https://github.com/DataBiosphere/consent, false, red
https://github.com/DataBiosphere/terra-workspace-manager, false, red
https://github.com/DataDog/datadog-api-client-java, true, blue
https://github.com/DataDog/jmxfetch, true, blue
https://github.com/DavidNexuss/BullNexMC-Plugin, false, red
https://github.com/DavidTanner/aws-beanstalk-publisher, true, blue
https://github.com/DbMaintain/dbmaintain, true, red
https://github.com/DengSinkiang/sk-admin, true, red
https://github.com/DeveloperCielo/LIO-SDK-API-Integracao-Remota-v1-Java, false, red
https://github.com/DharmendraVinay/Hibernate-ORM, false, red
https://github.com/DigitalPebble/behemoth, false, red
https://github.com/DigitalPebble/storm-crawler, false, red
https://github.com/DimuthuKasunWP/OFBIZ-Milky-Fresh-Diaries, false, red
https://github.com/DoubleDoorDevelopment/CurseModpackDownloader, false, red
https://github.com/DozerMapper/dozer, false, red
https://github.com/DraqueT/PolyGlot, false, red
https://github.com/DreamtChaos/mucommander, false, red
https://github.com/Dylancyclone/VMF2OBJ, true, blue
https://github.com/Dzikovskiy/ITS-Task, true, blue
https://github.com/E-Alharbi/ROBIN, true, blue
https://github.com/EMCECS/ecs-sync, true, aborted
https://github.com/ESAPI/esapi-java-legacy, false, red
https://github.com/Earnix/Web-K, true, red
https://github.com/Ekryd/sortpom, false, red
https://github.com/EngineHub/CommandHelper, false, red
https://github.com/Ensembl/ensj-healthcheck, true, blue
https://github.com/Ericsson/ecchronos, false, red
https://github.com/Ericsson/scenarios, true, blue
https://github.com/Esri/geoportal-server-harvester, false, red
https://github.com/EssentialsX/Essentials, false, red
https://github.com/Etar-Group/Etar-Calendar, false, red
https://github.com/EvoSuite/evosuite, false, red
https://github.com/ExpediaGroup/styx, false, red
https://github.com/FAForever/faf-java-api, true, blue
https://github.com/FINRAOS/DataGenerator, false, red
https://github.com/FISCO-BCOS/bcos-sdk-jni, false, red
https://github.com/FMSLLC/Keycloak-8.0.1, false, red
https://github.com/FamilySearch/gedcom5-java, true, blue
https://github.com/FastBootWeixin/FastBootWeixin, true, blue
https://github.com/FasterXML/aalto-xml, true, blue
https://github.com/FasterXML/jackson-core, true, blue
https://github.com/FasterXML/jackson-dataformat-xml, true, blue
https://github.com/FasterXML/jackson-dataformats-binary, true, red
https://github.com/FasterXML/jackson-dataformats-text, true, red
https://github.com/FasterXML/woodstox, true, blue
https://github.com/Fattouche/Saturn, true, blue
https://github.com/FenixEdu/bennu, false, red
https://github.com/FenixEdu/fenixedu-academic, false, red
https://github.com/FenixEdu/fenixedu-spaces, true, blue
https://github.com/Fernando-Cos/App_DSpace_teste, false, red
https://github.com/Findorgri/geoserver-2.17.3, false, not found
https://github.com/Findwise/Hydra, false, red
https://github.com/FirePub/jenkinsci-mber-plugin, true, blue
https://github.com/FluentLenium/FluentLenium, true, red
https://github.com/FollettSchoolSolutions/perfmon4j, false, red
https://github.com/ForgeRock/opendj-sdk-community-edition, false, red
https://github.com/FoundationDB/fdb-record-layer, false, red
https://github.com/FrankBian/tomcat8.0-source-research, false, blue
https://github.com/FrankerSun/netty-study-4.x, false, red
https://github.com/Freeyourgadget/Gadgetbridge, false, red
https://github.com/GReD-Clermont/simple-omero-client, false, red
https://github.com/GSLabDev/pepper-box, true, blue
https://github.com/GaoYan8/GYFrame, false, red
https://github.com/GateNLP/gate-core, true, blue
https://github.com/GeoWebCache/geowebcache, false, not found
https://github.com/GeorgH93/PCGF_PluginLib, false, red
https://github.com/GistLabs/mechanize, false, red
https://github.com/GitHubConstellation2022/CodeQL_CTF, false, not found
https://github.com/GitHubLiHong/FtpGenerterTxt, false, red
https://github.com/Glamdring/computoser, true, blue
https://github.com/GlowstoneMC/Glowstone, true, blue
https://github.com/GluuFederation/oxd, true, red
https://github.com/GoClipse/goclipse, true, red
https://github.com/GoogleCloudDataproc/hadoop-connectors, false, red
https://github.com/GoogleCloudPlatform/DataflowTemplates, true, blue
https://github.com/GoogleCloudPlatform/appengine-plugins-core, true, blue
https://github.com/GoogleCloudPlatform/endpoints-framework-maven-plugin, true, blue
https://github.com/GoogleCloudPlatform/google-cloud-eclipse, false, red
https://github.com/GoogleCloudPlatform/java-docs-samples, true, blue
https://github.com/GraxCode/cafecompare, true, blue
https://github.com/GraxCode/threadtear, true, blue
https://github.com/Graylog2/JadConfig, true, blue
https://github.com/Graylog2/graylog2-server, false, red
https://github.com/Grover-c13/PokeGOAPI-Java, false, red
https://github.com/GumTreeDiff/gumtree, false, red
